model,role,step,emotion,normalized_freq
gemma3,therapist,0,anger,0.0866166978529111
gemma3,therapist,0,trust,0.23086507454069863
gemma3,therapist,0,surprise,0.2070763358006354
gemma3,therapist,0,disgust,0.057713933481411024
gemma3,therapist,0,joy,0.0898013339196867
gemma3,therapist,0,sadness,0.07646121345683017
gemma3,therapist,0,fear,0.04191859909567015
gemma3,therapist,0,anticipation,0.209546811852157
gemma3,patient,0,anger,0.005907905106599137
gemma3,patient,0,trust,0.21236872769484835
gemma3,patient,0,surprise,0.11044086008199278
gemma3,patient,0,disgust,0.11860202356337426
gemma3,patient,0,joy,0.05450461631675866
gemma3,patient,0,sadness,0.28785441412350754
gemma3,patient,0,fear,0.20302405787545483
gemma3,patient,0,anticipation,0.007297395237464601
gemma3,therapist,1,anger,0.17949327389630595
gemma3,therapist,1,trust,0.14947245941177958
gemma3,therapist,1,surprise,0.30932618769078873
gemma3,therapist,1,disgust,0.023845826870422426
gemma3,therapist,1,joy,0.13414330596262639
gemma3,therapist,1,sadness,0.007803585853636196
gemma3,therapist,1,fear,0.12523420796943047
gemma3,therapist,1,anticipation,0.07068115234501016
gemma3,patient,1,anger,0.5
gemma3,patient,1,trust,0.5
gemma3,patient,1,surprise,0.0
gemma3,patient,1,disgust,0.0
gemma3,patient,1,joy,0.0
gemma3,patient,1,sadness,0.0
gemma3,patient,1,fear,0.0
gemma3,patient,1,anticipation,0.0
gemma3,therapist,2,anger,0.011145381324506858
gemma3,therapist,2,trust,0.16746638371060296
gemma3,therapist,2,surprise,0.2296548153962269
gemma3,therapist,2,disgust,0.07292596292470803
gemma3,therapist,2,joy,0.11819014056529067
gemma3,therapist,2,sadness,0.17555612183862496
gemma3,therapist,2,fear,0.03077972160151783
gemma3,therapist,2,anticipation,0.19428147263852164
gemma3,patient,2,anger,0.05777988583034874
gemma3,patient,2,trust,0.1990141601638582
gemma3,patient,2,surprise,0.24364187500386908
gemma3,patient,2,disgust,0.16910856838695626
gemma3,patient,2,joy,0.03212005612052789
gemma3,patient,2,sadness,0.1863707965574579
gemma3,patient,2,fear,0.09723680976652321
gemma3,patient,2,anticipation,0.014727848170458902
gemma3,therapist,3,anger,0.0032678613978308875
gemma3,therapist,3,trust,0.2172997157752231
